Date,ML_Prediction,Confidence,TA_Signal,Hybrid_Signal,Portfolio_Value,Daily_Return,Close
2021-10-08,1,0.591287709456576,0,0,97382.55520460327,-0.0019137230947888773,4391.33984375
2021-10-11,-1,0.4773100971572367,0,0,96713.9495776481,-0.006865763848056816,4361.18994140625
2021-10-12,1,0.7320143999560536,0,0,96480.21318456902,-0.0024167805585422197,4350.64990234375
2021-10-13,1,0.4408519325000011,0,0,96771.8260263189,0.00302251448379387,4363.7998046875
2021-10-14,1,0.5027729430065028,0,0,98423.05355926623,0.01706310194558336,4438.259765625
2021-10-15,1,0.6529607400251094,0,0,99157.31024483524,0.007460210377712606,4471.3701171875
2021-10-18,-1,0.53536956779873,-1,-1,99491.9433168132,0.00337476955709759,4486.4599609375
2021-10-19,0,0.3652011390718459,-1,-1,99491.9433168132,0.0,4519.6298828125
2021-10-20,-1,0.6126364223572759,-1,-1,99491.9433168132,0.0,4536.18994140625
2021-10-21,-1,0.535191710604526,-1,-1,99491.9433168132,0.0,4549.77978515625
2021-10-22,-1,0.5216691242960082,-1,-1,99491.9433168132,0.0,4544.89990234375
2021-10-25,-1,0.6369101598561182,-1,-1,99491.9433168132,0.0,4566.47998046875
2021-10-26,1,0.5653999061474999,-1,-1,99491.9433168132,0.0,4574.7900390625
2021-10-27,1,0.5642679002529217,-1,-1,99491.9433168132,0.0,4551.68017578125
2021-10-28,1,0.6653190959110336,-1,-1,99491.9433168132,0.0,4596.419921875
2021-10-29,1,0.5386390682318248,1,1,99491.9433168132,0.0,4605.3798828125
2021-11-01,-1,0.5391685505011621,1,1,99671.03648990378,0.0018000771431341267,4613.669921875
2021-11-02,1,0.5542626108837118,1,1,100037.8620932861,0.0036803630854131963,4630.64990234375
2021-11-03,-1,0.591448350689137,1,1,100684.23465037753,0.006461279195357994,4660.56982421875
2021-11-04,-1,0.5842480195866073,1,1,101105.29031636196,0.004181942361150437,4680.06005859375
2021-11-05,-1,0.6681219386330177,1,1,101482.69610896619,0.003732799652949037,4697.52978515625
2021-11-08,-1,0.6509503551149803,1,1,101572.79121977823,0.0008877879113036169,4701.7001953125
2021-11-09,-1,0.48368378848890414,1,1,101217.41078619231,-0.003498775895770745,4685.25
2021-11-10,1,0.479467233772508,1,1,100384.81424054268,-0.008225823395229703,4646.7099609375
2021-11-11,0,0.43595731537013976,1,1,100440.1202545911,0.0005509400447352153,4649.27001953125
2021-11-12,1,0.6121654808352143,1,1,101165.5646944418,0.007222656026415253,4682.85009765625
2021-11-15,1,0.6193362321241082,-1,-1,101164.47819445192,-1.073982034460741e-05,4682.7998046875
2021-11-16,1,0.6015598088262782,-1,-1,101164.47819445192,0.0,4700.89990234375
2021-11-17,1,0.630827456736277,0,0,101164.47819445192,0.0,4688.669921875
2021-11-18,1,0.5814022290466864,-1,-1,101164.47819445192,0.0,4704.5400390625
2021-11-19,1,0.6301796592994653,0,0,101164.47819445192,0.0,4697.9599609375
2021-11-22,1,0.6316111011364058,0,0,101164.47819445192,0.0,4682.93994140625
2021-11-23,1,0.5194899014647676,0,0,101164.47819445192,0.0,4690.7001953125
2021-11-24,1,0.6847069982654976,0,0,101164.47819445192,0.0,4701.4599609375
2021-11-26,1,0.801235573088553,1,1,101164.47819445192,0.0,4594.6201171875
2021-11-29,1,0.7815016270124742,0,1,102499.86949267871,0.013200199537034996,4655.27001953125
2021-11-30,1,0.8041624603843187,1,1,100556.33765798176,-0.0189613103345051,4567.0
2021-12-01,1,0.8246342990159464,1,1,99368.24568249614,-0.011815187417889339,4513.0400390625
2021-12-02,1,0.8070356113287325,1,1,100778.7218993438,0.01419443613158311,4577.10009765625
2021-12-03,1,0.7400464868822203,1,1,99927.28644471926,-0.008448563730297565,4538.43017578125
2021-12-06,1,0.5207853097991186,0,0,101099.52070901274,0.011730872577451423,4591.669921875
2021-12-07,-1,0.5363444743976014,0,0,103192.99661014801,0.020707080374404274,4686.75
2021-12-08,-1,0.5599296483946148,0,0,103511.37644692324,0.0030852853123166657,4701.2099609375
2021-12-09,-1,0.5752972990986467,0,0,102768.05295416173,-0.007181080169894716,4667.4501953125
2021-12-10,-1,0.4967406188243708,1,1,103749.392628674,0.009549073338481762,4712.02001953125
2021-12-13,1,0.4800700679045595,1,1,102801.52078802009,-0.009136167611567658,4668.97021484375
2021-12-14,1,0.7104481115077504,0,0,102033.5237717427,-0.007470677577436136,4634.08984375
2021-12-15,1,0.6360711625592075,1,1,103701.61522627549,0.016348464630746795,4709.85009765625
2021-12-16,0,0.39374546671988625,1,1,102794.90892877727,-0.008743415379980357,4668.669921875
2021-12-17,1,0.6651297795741982,0,0,101737.38773459899,-0.010287680637092622,4620.64013671875
2021-12-20,1,0.5347200349849532,1,1,100578.79647742605,-0.01138805785140995,4568.02001953125
2021-12-21,0,0.46196659371892274,0,0,102366.87973847767,0.017777934551572727,4649.22998046875
2021-12-22,-1,0.563354782449882,0,0,103408.99476307066,0.010180197220578835,4696.56005859375
2021-12-23,-1,0.429247990092052,0,0,104052.58131567671,0.006223699921661829,4725.7900390625
2021-12-27,-1,0.44499123110403305,0,0,105492.55825083701,0.01383893524747526,4791.18994140625
2021-12-28,-1,0.6032824705532143,0,0,105385.99443162596,-0.0010101548486260992,4786.35009765625
2021-12-29,-1,0.6381957733555016,0,0,105533.73454498334,0.0014018951394270118,4793.06005859375
2021-12-30,-1,0.46756874805568827,0,0,105218.214471718,-0.0029897555945094245,4778.72998046875
2021-12-31,-1,0.4887071339571314,0,0,104941.89251032147,-0.0026261799136575448,4766.18017578125
2022-01-03,-1,0.5017320996694766,0,0,105610.79764588173,0.006374052530970564,4796.56005859375
2022-01-04,1,0.3962871621730925,0,0,105544.30276878121,-0.0006296219570604,4793.5400390625
2022-01-05,1,0.4417960129444879,0,0,103497.50766899929,-0.019392757790687165,4700.580078125
2022-01-06,1,0.6190880057353985,0,0,103397.75997785319,-0.0009637690162076495,4696.0498046875
2022-01-07,-1,0.507958086258973,0,0,102978.9766395029,-0.004050216740091761,4677.02978515625
2022-01-10,1,0.586185817340938,0,0,102830.58071571655,-0.0014410312534550718,4670.2900390625
2022-01-11,1,0.3885951681685692,0,0,103772.50725854725,0.009159984668711818,4713.06982421875
2022-01-12,-1,0.4470605119147215,0,0,104064.91270193932,0.002817754443029452,4726.35009765625
2022-01-13,-1,0.3400786029329165,0,0,102582.6521205969,-0.0142436152864307,4659.02978515625
2022-01-14,1,0.5987090294437475,0,0,102666.7678713543,0.0008199802697488323,4662.85009765625
2022-01-18,-1,0.5558915547536354,1,1,100778.93691915656,-0.01838794569400748,4577.10986328125
2022-01-19,1,0.44444867493735063,1,1,99802.43519043173,-0.009689541868338702,4532.759765625
2022-01-20,-1,0.5019259241538401,1,1,98700.87793859723,-0.01103737849414832,4482.72998046875
2022-01-21,1,0.5703562535199099,1,1,96833.96841418247,-0.018914821867908604,4397.93994140625
2022-01-24,1,0.4525333227747787,1,1,97102.36689547826,0.002771738943381896,4410.1298828125
2022-01-25,1,0.3507913329874222,1,1,95920.44598861929,-0.012171906253646725,4356.4501953125
2022-01-26,1,0.4274504737657516,1,1,95776.88801062039,-0.001496635847751726,4349.93017578125
2022-01-27,-1,0.45814310875618475,1,1,95261.21674463389,-0.005384088757710681,4326.509765625
2022-01-28,-1,0.5561297602110988,0,0,97580.60321206071,0.024347646888076113,4431.85009765625
2022-01-31,-1,0.6708878684331465,0,0,99423.5057743792,0.018885951732779516,4515.5498046875
2022-02-01,-1,0.45679750139851455,0,0,100105.84964823785,0.00686300355780145,4546.5400390625
2022-02-02,-1,0.6583542241328193,0,0,101049.09856291712,0.00942251544733641,4589.3798828125
2022-02-03,-1,0.6049845594645418,1,1,98584.40170601728,-0.024391082077444004,4477.43994140625
2022-02-04,-1,0.599056018025596,1,1,99092.79455134134,0.0051569298644233985,4500.52978515625
2022-02-07,0,0.47133414462834144,0,0,98725.98150173866,-0.0037017126347429485,4483.8701171875
2022-02-08,1,0.37214761970023236,0,0,99555.39892753509,0.008401207191663485,4521.5400390625
2022-02-09,1,0.4034658623192662,0,0,101000.66535008965,0.014517207887505323,4587.18017578125
2022-02-10,-1,0.38886628085359,0,0,99170.96500427552,-0.018115725668459648,4504.080078125
2022-02-11,1,0.5229874147530069,0,0,97289.74591132061,-0.01896945434456354,4418.64013671875
2022-02-14,1,0.588910490811895,0,0,96916.0952316717,-0.0038405967262932217,4401.669921875
2022-02-15,1,0.4393072728143917,0,0,98444.14428214445,0.01576672117072042,4471.06982421875
2022-02-16,1,0.432466744830052,0,0,98530.89402560833,0.0008812077558950637,4475.009765625
2022-02-17,0,0.5273604030471242,0,0,96444.68579414484,-0.021173138152195015,4380.259765625
2022-02-18,1,0.4399354320463469,0,0,95753.54760994371,-0.0071661613961429005,4348.8701171875
2022-02-22,1,0.47783133061780736,0,0,94782.32461762248,-0.010142945264832837,4304.759765625
2022-02-23,0,0.36309129814524355,0,0,93037.18081318193,-0.018412122845487655,4225.5
2022-02-24,0,0.3615511048357282,0,0,94428.72453551479,0.014956856067329438,4288.7001953125
2022-02-25,-1,0.6301926958315748,0,0,96541.34795097762,0.022372677655603246,4384.64990234375
2022-02-28,-1,0.6236635928272356,0,0,96305.53572230782,-0.002442603440647506,4373.93994140625
2022-03-01,0,0.43508055965849585,0,0,94815.35166086465,-0.015473503680411893,4306.259765625
2022-03-02,-1,0.6269135782164277,1,1,96582.96503574014,0.018642691757321028,4386.5400390625
2022-03-03,-1,0.5132506322164725,0,0,96075.45377164843,-0.005254666430088428,4363.490234375
2022-03-04,1,0.49045911229574135,0,0,95313.18703338149,-0.007934042550334364,4328.8701171875
2022-03-07,1,0.46956832636894014,1,1,92499.71728917075,-0.029518158313449172,4201.08984375
2022-03-08,-1,0.49780995921181903,1,1,91830.59713379772,-0.00723375351819977,4170.7001953125
2022-03-09,1,0.44311191335960987,0,0,94190.48258296061,0.0256982478914356,4277.8798828125
2022-03-10,1,0.5051122456604688,0,0,93786.23458395389,-0.004291813651667753,4259.52001953125
2022-03-11,1,0.49322480261270685,0,0,92570.62007243314,-0.012961545123475138,4204.31005859375
2022-03-14,1,0.5487935142286161,0,0,91883.65327259983,-0.007421002465963666,4173.10986328125
2022-03-15,1,0.5913704211746995,0,0,93850.75127877688,0.021408574170871164,4262.4501953125
2022-03-16,0,0.42546046765625567,0,0,95951.4840985933,0.022383761357182452,4357.85986328125
2022-03-17,0,0.42810983281621456,0,0,97136.2755199528,0.01234781757145198,4411.669921875
2022-03-18,0,0.4560032463262242,0,0,98269.10740355536,0.011662294827948783,4463.1201171875
2022-03-21,0,0.41981710624577057,0,0,98226.3937177477,-0.00043466036210393355,4461.18017578125
2022-03-22,0,0.5022449479286919,0,0,99336.75603091532,0.0113041136006502,4511.60986328125
2022-03-23,-1,0.3689424086685665,0,0,98117.62594545571,-0.012272698789159042,4456.240234375
2022-03-24,1,0.46649748999523377,-1,-1,99525.01662799004,0.01434391292056647,4520.16015625
2022-03-25,0,0.48552726992913675,-1,-1,99525.01662799004,0.0,4543.06005859375
2022-03-28,-1,0.4391281077046262,-1,-1,99525.01662799004,0.0,4575.52001953125
2022-03-29,-1,0.6285790944784483,-1,-1,99525.01662799004,0.0,4631.60009765625
2022-03-30,-1,0.6693889198021148,-1,-1,99525.01662799004,0.0,4602.4501953125
2022-03-31,1,0.5497328753008854,0,0,99525.01662799004,0.0,4530.41015625
2022-04-01,1,0.5040147896514015,0,0,99525.01662799004,0.0,4545.85986328125
2022-04-04,-1,0.42458410974217375,1,1,99525.01662799004,0.0,4582.64013671875
2022-04-05,1,0.504996361347298,1,1,98275.80640648027,-0.012551720801807442,4525.1201171875
2022-04-06,1,0.7465456115869513,1,1,97320.86859052646,-0.009716916613271898,4481.14990234375
2022-04-07,1,0.5448440681757485,0,0,97734.81177434183,0.004253385628492756,4500.2099609375
2022-04-08,-1,0.4854183893085209,0,0,97475.71420010945,-0.002651026482054397,4488.27978515625
2022-04-11,-1,0.5444755494523372,0,0,95830.58829350307,-0.0168772901035541,4412.52978515625
2022-04-12,1,0.7107100638035615,1,1,95503.09226824957,-0.003417447717741884,4397.4501953125
2022-04-13,1,0.47015855382204214,0,0,96570.29898357711,0.011174577597236057,4446.58984375
2022-04-14,1,0.5072658399599427,1,1,95397.53596104584,-0.012144137844397829,4392.58984375
2022-04-18,1,0.662379399574917,1,1,95377.99203155251,-0.00020486828403321056,4391.68994140625
2022-04-19,-1,0.45592314181764265,1,1,96909.5340918198,0.016057604355527166,4462.2099609375
2022-04-20,-1,0.5052214497937384,1,1,96849.5979607855,-0.0006184750715808596,4459.4501953125
2022-04-21,1,0.45626565310381534,1,1,95420.780829982,-0.014752948498371943,4393.66015625
2022-04-22,1,0.690535908847254,1,1,92773.80319310902,-0.027740054250753654,4271.77978515625
2022-04-25,1,0.7073931753428591,1,1,93302.4224775976,0.005697936985382235,4296.1201171875
2022-04-26,1,0.503989418617776,1,1,90676.30371718331,-0.028146308431003852,4175.2001953125
2022-04-27,1,0.7588369037369165,1,1,90866.5468507211,0.0020980468517017847,4183.9599609375
2022-04-28,-1,0.4789734408477355,1,1,93115.21220560897,0.02474690007293945,4287.5
2022-04-29,-1,0.5338587318878233,1,1,89736.57262661931,-0.036284507106413955,4131.93017578125
2022-05-02,1,0.7323683793401263,1,1,90245.84946542379,0.005675242812353654,4155.3798828125
2022-05-03,-1,0.5153802560701874,1,1,90682.38004469263,0.004837126381486367,4175.47998046875
2022-05-04,1,0.5156497950034532,0,0,93390.37546252305,0.02986242108440229,4300.169921875
2022-05-05,1,0.5320983015348476,1,1,90061.03579032364,-0.035649708609806874,4146.8701171875
2022-05-06,1,0.4945069671536262,1,1,89550.00922370235,-0.0056742248424840325,4123.33984375
2022-05-09,1,0.7031629446954082,1,1,86681.08656657411,-0.032037100632356874,3991.239990234375
2022-05-10,1,0.7570404336055758,1,1,86894.13978819661,0.0024578974498532524,4001.050048828125
2022-05-11,1,0.7076585184259927,1,1,85463.58353398732,-0.01646320750393826,3935.179931640625
2022-05-12,1,0.7293828554583657,1,1,85352.82576318266,-0.0012959645058717717,3930.080078125
2022-05-13,1,0.6524449193020021,1,1,87390.17171764832,0.02386969542307149,4023.889892578125
2022-05-16,1,0.7705376280624352,0,1,87045.29506274777,-0.003946400929555671,4008.010009765625
2022-05-17,1,0.8331519272789232,0,1,88800.96665193858,0.020169632234863677,4088.85009765625
2022-05-18,1,0.744368672360797,1,1,85213.82844585564,-0.04039526078745248,3923.679931640625
2022-05-19,1,0.5502252496817867,1,1,84716.70956427531,-0.005833781800992588,3900.7900390625
2022-05-20,-1,0.5226112416974646,1,1,84729.09021413069,0.00014614176965865866,3901.360107421875
2022-05-23,-1,0.5498929632188533,0,0,86301.2418663647,0.018555039930923556,3973.75
2022-05-24,1,0.6737014616956942,0,0,85600.40694705707,-0.008120797617175102,3941.47998046875
2022-05-25,-1,0.4856766347121517,1,1,86409.39625426615,0.009450764734207695,3978.72998046875
2022-05-26,1,0.47762349222855605,0,0,88127.4964152449,0.019883256167224195,4057.840087890625
2022-05-27,1,0.4105446157059798,-1,-1,90307.97010512637,0.02474226295510973,4158.240234375
2022-05-31,1,0.4144692607125421,0,0,90307.97010512637,0.0,4132.14990234375
2022-06-01,1,0.4796206277746067,0,0,90307.97010512637,0.0,4101.22998046875
2022-06-02,1,0.44174137385633394,0,0,90307.97010512637,0.0,4176.81982421875
2022-06-03,-1,0.46388636463376426,0,0,90307.97010512637,0.0,4108.5400390625
2022-06-06,1,0.6846864471931562,0,0,90307.97010512637,0.0,4121.43017578125
2022-06-07,-1,0.4362356258497495,0,0,90307.97010512637,0.0,4160.68017578125
2022-06-08,-1,0.4215204807515972,0,0,90307.97010512637,0.0,4115.77001953125
2022-06-09,1,0.6665550392654913,0,0,90307.97010512637,0.0,4017.820068359375
2022-06-10,1,0.7111775424476185,0,0,90307.97010512637,0.0,3900.860107421875
2022-06-13,1,0.6996630067005831,0,0,90307.97010512637,0.0,3749.6298828125
2022-06-14,1,0.7419333405650518,0,0,90307.97010512637,0.0,3735.47998046875
2022-06-15,1,0.6406552131818957,0,0,90307.97010512637,0.0,3789.989990234375
2022-06-16,-1,0.5078239468698953,0,0,90307.97010512637,0.0,3666.77001953125
2022-06-17,1,0.7851489783370496,0,1,90307.97010512637,0.0,3674.840087890625
2022-06-21,1,0.5373295500388852,0,0,92518.4601692124,0.024477242280086964,3764.7900390625
2022-06-22,-1,0.5061926415261466,1,1,92398.04070288518,-0.0013015723144006452,3759.889892578125
2022-06-23,-1,0.4936333438751128,0,0,93278.79891504714,0.009532217409177868,3795.72998046875
2022-06-24,1,0.46330514717553634,0,0,96129.70623162187,0.03056329358583576,3911.739990234375
2022-06-27,-1,0.45426223935410914,1,1,95843.90573847435,-0.0029730715337763503,3900.110107421875
2022-06-28,1,0.6263208036810655,1,1,93913.31848752986,-0.020143036075892073,3821.550048828125
2022-06-29,-1,0.5581320093692362,1,1,93846.47611423748,-0.0007117454091589703,3818.830078125
2022-06-30,1,0.5536492511332781,1,1,93024.44871548178,-0.008759278267998716,3785.3798828125
2022-07-01,1,0.6767594655643916,0,0,94006.21144737962,0.010553814029047315,3825.330078125
2022-07-05,1,0.6093380920936731,0,0,94155.12936744878,0.0015841285142366157,3831.389892578125
2022-07-06,1,0.4976577154596422,0,0,94491.56111346537,0.0035731642904299754,3845.080078125
